size,mac_lanes,clock_mhz,compute_efficiency_assumed,ddr_MBps_assumed,conv_ideal_ms,conv_efficiency_ms,reference_traffic_MB,reference_memory_ms,perfect_overlap_reference_ms,no_overlap_reference_ms
640,128,100,0.8,250,315.942,394.9275,36.929184,147.716736,394.9275,542.644236
640,128,100,0.8,500,315.942,394.9275,36.929184,73.858368,394.9275,468.785868
640,128,150,0.4,100,210.62800000000001,526.5699999999999,36.929184,369.29184,526.5699999999999,895.86184
640,128,150,0.4,250,210.62800000000001,526.5699999999999,36.929184,147.716736,526.5699999999999,674.286736
640,128,150,0.4,500,210.62800000000001,526.5699999999999,36.929184,73.858368,526.5699999999999,600.428368
640,128,150,0.6,100,210.62800000000001,351.0466666666667,36.929184,369.29184,369.29184,720.3385066666666
640,128,150,0.6,250,210.62800000000001,351.0466666666667,36.929184,147.716736,351.0466666666667,498.76340266666665
640,128,150,0.6,500,210.62800000000001,351.0466666666667,36.929184,73.858368,351.0466666666667,424.90503466666667
640,128,150,0.8,100,210.62800000000001,263.28499999999997,36.929184,369.29184,369.29184,632.5768400000001
640,128,150,0.8,250,210.62800000000001,263.28499999999997,36.929184,147.716736,263.28499999999997,411.001736
640,128,150,0.8,500,210.62800000000001,263.28499999999997,36.929184,73.858368,263.28499999999997,337.143368
